index,City,State,Country,Region,Market,LocationID
0,Mexico City,Distrito Federal,Mexico,Central America,LATAM,1
1,Dos Quebradas,Risaralda,Colombia,South America,LATAM,2
6,São Paulo,São Paulo,Brazil,South America,LATAM,3
11,Managua,Managua,Nicaragua,Central America,LATAM,4
14,Brasília,Federal District,Brazil,South America,LATAM,5
16,San Miguelito,Panama,Panama,Central America,LATAM,6
20,San Cristóbal de Las Casas,Chiapas,Mexico,Central America,LATAM,7
21,Santiago,Santiago,Chile,South America,LATAM,8
23,Panama City,Panama,Panama,Central America,LATAM,9
24,Hermosillo,Sonora,Mexico,Central America,LATAM,10
25,Coyoacán,Distrito Federal,Mexico,Central America,LATAM,11
27,Tegucigalpa,Francisco Morazán,Honduras,Central America,LATAM,12
37,Artemisa,Artemisa,Cuba,Caribbean,LATAM,13
40,La Romana,La Romana,Dominican Republic,Caribbean,LATAM,14
41,Milpa Alta,Distrito Federal,Mexico,Central America,LATAM,15
42,San Juan del Río,Querétaro,Mexico,Central America,LATAM,16
45,Goiânia,Goiás,Brazil,South America,LATAM,17
46,Santo Domingo,Santo Domingo,Dominican Republic,Caribbean,LATAM,18
48,São Benedito,Ceará,Brazil,South America,LATAM,19
49,Medellín,Antioquia,Colombia,South America,LATAM,20
50,Toluca,México,Mexico,Central America,LATAM,21
57,Tulancingo,Hidalgo,Mexico,Central America,LATAM,22
59,Pinheiro,Maranhão,Brazil,South America,LATAM,23
60,La Paz,Baja California Sur,Mexico,Central America,LATAM,24
61,Lençóis Paulista,São Paulo,Brazil,South America,LATAM,25
63,Madero,Tamaulipas,Mexico,Central America,LATAM,26
65,La Ceiba,Atlántida,Honduras,Central America,LATAM,27
66,Guantánamo,Guantánamo,Cuba,Caribbean,LATAM,28
68,Bello,Antioquia,Colombia,South America,LATAM,29
70,Abreu e Lima,Pernambuco,Brazil,South America,LATAM,30
72,Monterrey,Nuevo León,Mexico,Central America,LATAM,31
76,Lima,Lima (city),Peru,South America,LATAM,32
85,Tuxtla Gutiérrez,Chiapas,Mexico,Central America,LATAM,33
86,Piedras Negras,Coahuila,Mexico,Central America,LATAM,34
88,Tijuana,Baja California,Mexico,Central America,LATAM,35
92,Chihuahua,Chihuahua,Mexico,Central America,LATAM,36
95,Natal,Rio Grande do Norte,Brazil,South America,LATAM,37
97,Estelí,Estelí,Nicaragua,Central America,LATAM,38
100,Mixco,Guatemala,Guatemala,Central America,LATAM,39
101,Camagüey,Camagüey,Cuba,Caribbean,LATAM,40
102,Ocotlán,Jalisco,Mexico,Central America,LATAM,41
104,Cholula,Puebla,Mexico,Central America,LATAM,42
107,Buenos Aires,Buenos Aires,Argentina,South America,LATAM,43
