ProductName,ProductKey,ProductSubcategoryKey
"Hon File Folder Labels, Adjustable",OFF-LA-4658,11
"Tenex Clock, Durable",FUR-FU-6238,10
"Ikea 3-Shelf Cabinet, Mobile",FUR-BO-4845,5
"Cardinal Binder, Clear",OFF-BI-3720,4
"Sanford Canvas, Water Color",OFF-AR-5905,3
"GlobeWeis Mailers, with clear poly window",OFF-EN-4446,8
"Konica Card Printer, Red",TEC-MA-5003,12
"Elite Box Cutter, Easy Grip",OFF-SU-4116,16
"Enermax Router, Erganomic",TEC-AC-4186,1
"Wilson Jones Hole Reinforcements, Durable",OFF-BI-6398,4
"Accos Staples, 12 Pack",OFF-FA-2955,9
"Hon Steel Folding Chair, Black",FUR-CH-4698,6
"Kraft Mailers, Security-Tint",OFF-EN-5034,8
"Stanley Canvas, Easy-Erase",OFF-AR-6106,3
"Advantus Clamps, Metal",OFF-FA-3022,9
"Jiffy Peel and Seal, with clear poly window",OFF-EN-4926,8
"Deflect-O Frame, Duo Pack",FUR-FU-3941,10
"GlobeWeis Interoffice Envelope, Security-Tint",OFF-EN-4440,8
"Jiffy Clasp Envelope, Recycled",OFF-EN-4906,8
"Hon Rocking Chair, Black",FUR-CH-4682,6
"Enermax Mouse, USB",TEC-AC-4174,1
"Acme Box Cutter, Serrated",OFF-SU-2967,16
"Acco Binding Machine, Clear",OFF-BI-2899,4
"Deflect-O Clock, Black",FUR-FU-3928,10
"HP Copy Machine, Color",TEC-CO-4765,7
"Rogers Box, Single Width",OFF-ST-5688,15
"Wilson Jones Binding Machine, Durable",OFF-BI-6383,4
"Stockwell Thumb Tacks, Metal",OFF-FA-6208,9
"Motorola Office Telephone, with Caller ID",TEC-PH-5262,14
"Binney & Smith Markers, Blue",OFF-AR-3488,3
"Breville Toaster, Black",OFF-AP-3582,2
"Sharp Fax Machine, Digital",TEC-CO-5998,7
"Stanley Pencil Sharpener, Easy-Erase",OFF-AR-6118,3
"Fiskars Box Cutter, Serrated",OFF-SU-4305,16
"Acme Letter Opener, Steel",OFF-SU-2980,16
"Kleencut Box Cutter, Steel",OFF-SU-4976,16
"Chromcraft Coffee Table, Rectangular",FUR-TA-3757,17
"Ikea Stackable Bookrack, Mobile",FUR-BO-4865,5
"Advantus Rubber Bands, 12 Pack",OFF-FA-3060,9
"Fiskars Trimmer, Serrated",OFF-SU-4327,16
